"","enriched","depleted","gene_id","GeneSymbol_Mouse","uniprot_protein_name","coronalIshAvailable","coronalIshConsistent","GeneSymbol_Human","EnrichedVSDepleted"
"26","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029913","Prdm5","PR domain zinc finger protein 5",0,0,"PRDM5","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"27","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000010175","Prox1","Prospero homeobox protein 1",1,1,"PROX1","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"28","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000040929","Rfx3","Transcription factor RFX3",1,1,"RFX3","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"29","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000057182","Scn3a","Sodium channel protein",0,0,"SCN3A","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"30","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000022494","Shisa9","Protein shisa-9",1,1,"SHISA9","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"31","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000001995","Sipa1l2","Signal-induced proliferation-associated 1-like protein 2",1,1,"SIPA1L2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"32","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000050822","Slc29a4","Equilibrative nucleoside transporter 4",1,1,"SLC29A4","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"33","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000060961","Slc4a4","Anion exchange protein; Electrogenic sodium bicarbonate cotransporter 1",0,0,"SLC4A4","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"34","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000064899","Snord118","-",0,0,"SNORD118","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"35","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000046314","Stxbp6","-",1,1,"STXBP6","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"36","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000051111","Sv2c","Synaptic vesicle glycoprotein 2C",1,0,"SV2C","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"37","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000002489","Tiam1","-",1,1,"TIAM1","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"38","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000031997","Trpc6","Short transient receptor potential channel 6",1,1,"TRPC6","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"39","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000043456","Zfp536","Zinc finger protein 536",1,1,"ZFP536","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"40","dg_d","dg_v","ENSMUSG00000028830","AU040320","Dyslexia-associated protein KIAA0319-like protein",0,0,"AU040320","dg_d__VS__dg_v"
"41","dg_d","dg_v","ENSMUSG00000052423","B4galt3","Beta-1,4-galactosyltransferase 3",0,0,"B4GALT3","dg_d__VS__dg_v"
"42","dg_d","dg_v","ENSMUSG00000091921","B930041F14Rik","-",0,0,"B930041F14RIK","dg_d__VS__dg_v"
"43","dg_d","dg_v","ENSMUSG00000069806","Cacng7","Voltage-dependent calcium channel gamma subunit; Voltage-dependent calcium channel gamma-7 subunit",1,1,"CACNG7","dg_d__VS__dg_v"
"44","dg_d","dg_v","ENSMUSG00000079488","Cd47","-",1,0,"CD47","dg_d__VS__dg_v"
"45","dg_d","dg_v","ENSMUSG00000030747","Dgat2","Diacylglycerol O-acyltransferase 2",1,1,"DGAT2","dg_d__VS__dg_v"
"46","dg_d","dg_v","ENSMUSG00000054889","Dsp","Desmoplakin",0,0,"DSP","dg_d__VS__dg_v"
"47","dg_d","dg_v","ENSMUSG00000071341","Egr4","Early growth response protein 4",1,0,"EGR4","dg_d__VS__dg_v"
"48","dg_d","dg_v","ENSMUSG00000022895","Ets2","Protein C-ets-2",0,0,"ETS2","dg_d__VS__dg_v"
"49","dg_d","dg_v","ENSMUSG00000027198","Ext2","Exostosin-2",0,0,"EXT2","dg_d__VS__dg_v"
"50","dg_d","dg_v","ENSMUSG00000009216","Fam163b","Protein FAM163B",1,1,"FAM163B","dg_d__VS__dg_v"
"51","dg_d","dg_v","ENSMUSG00000030956","Fam53b","Protein FAM53B",0,0,"FAM53B","dg_d__VS__dg_v"
"52","dg_d","dg_v","ENSMUSG00000091267","Gm17322","-",0,0,"GM17322","dg_d__VS__dg_v"
"53","dg_d","dg_v","ENSMUSG00000008734","Gprc5b","G-protein coupled receptor family C group 5 member B",1,1,"GPRC5B","dg_d__VS__dg_v"
"54","dg_d","dg_v","ENSMUSG00000031822","Gse1","Genetic suppressor element 1",0,0,"GSE1","dg_d__VS__dg_v"
"55","dg_d","dg_v","ENSMUSG00000033543","Gtf2a2","Transcription initiation factor IIA subunit 2",0,0,"GTF2A2","dg_d__VS__dg_v"
"56","dg_d","dg_v","ENSMUSG00000037894","H2afz","Histone H2A.Z; Histone H2A",0,0,"H2AFZ","dg_d__VS__dg_v"
"57","dg_d","dg_v","ENSMUSG00000034570","Inpp5j","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",1,1,"INPP5J","dg_d__VS__dg_v"
"58","dg_d","dg_v","ENSMUSG00000062785","Kcnc3","-",1,1,"KCNC3","dg_d__VS__dg_v"
"59","dg_d","dg_v","ENSMUSG00000033998","Kcnk1","Potassium channel subfamily K member 1",1,1,"KCNK1","dg_d__VS__dg_v"
"60","dg_d","dg_v","ENSMUSG00000052040","Klf13","Krueppel-like factor 13",0,0,"KLF13","dg_d__VS__dg_v"
"61","dg_d","dg_v","ENSMUSG00000006024","Napa","Alpha-soluble NSF attachment protein",0,0,"NAPA","dg_d__VS__dg_v"
"62","dg_d","dg_v","ENSMUSG00000056724","Nbeal2","Neurobeachin-like protein 2",0,0,"NBEAL2","dg_d__VS__dg_v"
"63","dg_d","dg_v","ENSMUSG00000029478","Ncor2","Nuclear receptor corepressor 2",0,0,"NCOR2","dg_d__VS__dg_v"
"64","dg_d","dg_v","ENSMUSG00000038255","Neurod2","Neurogenic differentiation factor 2; Neurogenic differentiation factor",1,1,"NEUROD2","dg_d__VS__dg_v"
"65","dg_d","dg_v","ENSMUSG00000044014","Npy5r","Neuropeptide Y receptor type 5",0,0,"NPY5R","dg_d__VS__dg_v"
"66","dg_d","dg_v","ENSMUSG00000053310","Nrgn","Neurogranin",0,0,"NRGN","dg_d__VS__dg_v"
"67","dg_d","dg_v","ENSMUSG00000022197","Pdzd2","-",1,1,"PDZD2","dg_d__VS__dg_v"
"68","dg_d","dg_v","ENSMUSG00000031557","Plekha2","Pleckstrin homology domain-containing family A member 2",1,1,"PLEKHA2","dg_d__VS__dg_v"
"69","dg_d","dg_v","ENSMUSG00000039713","Plekhg5","Pleckstrin homology domain-containing family G member 5",1,0,"PLEKHG5","dg_d__VS__dg_v"
"70","dg_d","dg_v","ENSMUSG00000002963","Pnkp","-",0,0,"PNKP","dg_d__VS__dg_v"
"71","dg_d","dg_v","ENSMUSG00000010205","Raver1","Ribonucleoprotein PTB-binding 1",0,0,"RAVER1","dg_d__VS__dg_v"
"72","dg_d","dg_v","ENSMUSG00000032128","Robo3","-",0,0,"ROBO3","dg_d__VS__dg_v"
"73","dg_d","dg_v","ENSMUSG00000022436","Sh3bp1","Pyridoxal phosphate phosphatase",0,0,"SH3BP1","dg_d__VS__dg_v"
"74","dg_d","dg_v","ENSMUSG00000064382","SNORA63","-",0,0,"SNORA63","dg_d__VS__dg_v"
"75","dg_d","dg_v","ENSMUSG00000032327","Stra6","-",1,1,"STRA6","dg_d__VS__dg_v"
"76","dg_d","dg_v","ENSMUSG00000059981","Taok2","Serine/threonine-protein kinase TAO2",0,0,"TAOK2","dg_d__VS__dg_v"
"77","dg_d","dg_v","ENSMUSG00000066278","Vps37b","Vacuolar protein sorting-associated protein 37B",0,0,"VPS37B","dg_d__VS__dg_v"
"78","dg_d","dg_v","ENSMUSG00000043456","Zfp536","Zinc finger protein 536",1,1,"ZFP536","dg_d__VS__dg_v"
"79","dg_v","dg_d","ENSMUSG00000026463","Atp2b4","Plasma membrane calcium-transporting ATPase 4; Calcium-transporting ATPase",0,0,"ATP2B4","dg_v__VS__dg_d"
"80","dg_v","dg_d","ENSMUSG00000025199","Chuk","-",1,0,"CHUK","dg_v__VS__dg_d"
"81","dg_v","dg_d","ENSMUSG00000043631","Ecm2","Extracellular matrix protein 2",0,0,"ECM2","dg_v__VS__dg_d"
"82","dg_v","dg_d","ENSMUSG00000046743","Fat4","Protocadherin Fat 4",1,0,"FAT4","dg_v__VS__dg_d"
"83","dg_v","dg_d","ENSMUSG00000006369","Fbln1","Fibulin-1",1,1,"FBLN1","dg_v__VS__dg_d"
"84","dg_v","dg_d","ENSMUSG00000049928","Glp2r","Glucagon-like peptide 2 receptor",0,0,"GLP2R","dg_v__VS__dg_d"
"85","dg_v","dg_d","ENSMUSG00000068428","Gm606","Geminin coiled-coil domain-containing protein 1",0,0,"GM606","dg_v__VS__dg_d"
"86","dg_v","dg_d","ENSMUSG00000024810","Il33","Interleukin-33",0,0,"IL33","dg_v__VS__dg_d"
"87","dg_v","dg_d","ENSMUSG00000019966","Kitl","Kit ligand",1,1,"KITL","dg_v__VS__dg_d"
"88","dg_v","dg_d","ENSMUSG00000015882","Lcorl","Ligand-dependent nuclear receptor corepressor-like protein",0,0,"LCORL","dg_v__VS__dg_d"
"89","dg_v","dg_d","ENSMUSG00000015880","Ncapg","-",0,0,"NCAPG","dg_v__VS__dg_d"
"90","dg_v","dg_d","ENSMUSG00000035357","Pdzrn3","E3 ubiquitin-protein ligase PDZRN3",1,1,"PDZRN3","dg_v__VS__dg_d"
"91","dg_v","dg_d","ENSMUSG00000075316","Scn9a","Sodium channel protein; Sodium channel protein type 9 subunit alpha",0,0,"SCN9A","dg_v__VS__dg_d"
"92","dg_v","dg_d","ENSMUSG00000029123","Stk32b","Serine/threonine-protein kinase 32B",0,0,"STK32B","dg_v__VS__dg_d"
"93","dg_v","dg_d","ENSMUSG00000043668","Tox3","TOX high mobility group box family member 3",1,1,"TOX3","dg_v__VS__dg_d"
"94","dg_v","dg_d","ENSMUSG00000038760","Trhr","Thyrotropin-releasing hormone receptor",1,1,"TRHR","dg_v__VS__dg_d"
"95","dg_v","dg_d","ENSMUSG00000046982","Tshz1","Teashirt homolog 1",1,1,"TSHZ1","dg_v__VS__dg_d"
"96","dg_v","dg_d","ENSMUSG00000036699","Zcchc12","Zinc finger CCHC domain-containing protein 12",1,1,"ZCCHC12","dg_v__VS__dg_d"
"97","dg_v","dg_d","ENSMUSG00000045333","Zfp423","Zinc finger protein 423",1,1,"ZFP423","dg_v__VS__dg_d"
"98","dg_v","dg_d","ENSMUSG00000036036","Zfp57","Zinc finger protein 57",1,0,"ZFP57","dg_v__VS__dg_d"
"99","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000038065","2410066E13Rik","Maturin",1,1,"2410066E13RIK","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"100","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000044288","Cnr1","Cannabinoid receptor 1",1,1,"CNR1","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"101","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000037852","Cpe","Carboxypeptidase E",1,1,"CPE","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"102","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000030772","Dkk3","Dickkopf-related protein 3",1,1,"DKK3","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"103","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000025558","Dock9","-",0,0,"DOCK9","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"104","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000028546","Elavl4","ELAV-like protein; ELAV-like protein 4",0,0,"ELAVL4","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"105","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000004031","Fam5b","BMP/retinoic acid-inducible neural-specific protein 2",1,1,"FAM5B","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"106","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000008136","Fhl2","Four and a half LIM domains protein 2",1,1,"FHL2","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"107","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000047261","Gap43","Neuromodulin",1,1,"GAP43","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"108","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000057716","Gm5567","-",0,0,"GM5567","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"109","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000057614","Gnai1","Guanine nucleotide-binding protein G(i) subunit alpha-1",1,1,"GNAI1","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"110","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000007594","Hapln4","Hyaluronan and proteoglycan link protein 4",1,1,"HAPLN4","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"111","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000022332","Khdrbs3","KH domain-containing, RNA-binding, signal transduction-associated protein 3",1,1,"KHDRBS3","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"112","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000032418","Me1","NADP-dependent malic enzyme; Malic enzyme",0,0,"ME1","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"113","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000037984","Neurod6","Neurogenic differentiation factor; Neurogenic differentiation factor 6",1,1,"NEUROD6","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"114","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000024500","Ppp2r2b","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform",1,0,"PPP2R2B","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"115","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000078816","Prkcc","Protein kinase C; Protein kinase C gamma type",1,1,"PRKCC","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"116","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000056553","Ptprn2","Receptor-type tyrosine-protein phosphatase N2",0,0,"PTPRN2","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"117","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000021700","Rab3c","Ras-related protein Rab-3C",1,1,"RAB3C","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"118","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000023236","Scg5","Neuroendocrine protein 7B2",1,1,"SCG5","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"119","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000063531","Sema3e","Semaphorin-3E",1,1,"SEMA3E","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"120","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000025425","St8sia5","Alpha-2,8-sialyltransferase 8E",1,1,"ST8SIA5","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"121","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000027500","Stmn2","Stathmin-2; Stathmin",1,1,"STMN2","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"122","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000053025","Sv2b","Synaptic vesicle glycoprotein 2B",1,1,"SV2B","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"123","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000023805","Synj2","Synaptojanin-2",1,1,"SYNJ2","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"124","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000035864","Syt1","Synaptotagmin-1",1,0,"SYT1","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"125","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","dg_d-dg_v","ENSMUSG00000032289","Thsd4","Thrombospondin type-1 domain-containing protein 4",0,0,"THSD4","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__dg_d-dg_v"
"126","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000023328","Ache","Carboxylic ester hydrolase; Acetylcholinesterase",1,1,"ACHE","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"127","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000062753","AI413582","-",0,0,"AI413582","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"128","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000008036","Ap2s1","AP-2 complex subunit sigma",1,0,"AP2S1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"129","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000004285","Atp6v1f","V-type proton ATPase subunit F",0,0,"ATP6V1F","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"130","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000003657","Calb2","Calretinin",1,1,"CALB2","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"131","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000051146","Camk2n2","Calcium/calmodulin-dependent protein kinase II inhibitor 2",0,0,"CAMK2N2","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
